id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm266685,Sandy Wexler,MOVIE,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.",2017,,130,['comedy'],['US'],,tt5893332,5.2,17039,15.142,5.5,n
tm409618,Alex Strangelove,MOVIE,"Alex Truelove is on a quest to lose his virginity, an event eagerly awaited by his patient girlfriend and cheered on with welcome advice by his rowdy friends. But Alex, a super gregarious dude, is oddly unmotivated. A magical house party throws Alex into the presence of Elliot, a hunky college guy, who pegs Alex as gay and flirts hard. Alex is taken aback but after a series of setbacks on the girlfriend front he takes the plunge and learns some interesting new facts about himself.",2018,R,99,"['comedy', 'drama', 'romance']",['US'],,tt5688996,6.3,17746,16.093,6.6,n
tm347530,Gaga: Five Foot Two,MOVIE,Go behind the scenes with pop provocateur Lady Gaga as she releases a bold new album and prepares for her Super Bowl halftime show.,2017,,100,"['music', 'documentation']",['US'],,tt7291268,7.0,12937,8.707,7.5,n
ts57985,Free Rein,SHOW,"A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse.",2017,TV-G,28,"['action', 'comedy', 'drama', 'family', 'documentation']",['US'],3.0,tt6928052,7.0,2110,31.038,7.8,n
ts58297,The Indian Detective,SHOW,A Toronto police officer gets involved in a homicide investigation while visiting his father in Mumbai.,2017,,43,"['crime', 'comedy', 'drama']",['CA'],1.0,tt5797220,6.5,3123,4.954,6.5,n
ts80959,Sacred Games,SHOW,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",2018,TV-MA,50,"['action', 'drama', 'crime', 'thriller']",['IN'],2.0,tt6077448,8.5,86279,14.613,8.1,n
tm313974,Get Me Roger Stone,MOVIE,"From his days of testifying at the Watergate hearings to advising recent presidential candidate Donald Trump, Roger Stone has long offended people on both sides of the political fence as a force in conservative America. Outspoken author, pundit, ahead of his time election strategist, this is his story.",2017,,100,"['documentation', 'history']",['US'],,tt6714534,7.3,7408,6.022,7.0,n
ts81821,The Queen of Flow,SHOW,"After spending seventeen years in prison unfairly, a talented songwriter seeks revenge on the men who sank her and killed her family.",2018,TV-MA,45,"['drama', 'family', 'music']",['CO'],2.0,tt8560918,7.7,1247,257.952,8.0,n
tm359103,River's Edge,MOVIE,"Haruna Wakagusa is a high school student who lives with her mother. Ichiro Yamada is gay and Haruna?�s classmate. He is bullied at school, but Haruna sticks up for Ichiro. They become intimate and Ichiro tells Haruna his secret. He found a dead body along the riverside. A new body is soon found.",2018,,118,"['drama', 'crime']",['JP'],,tt7476946,6.2,952,4.043,5.8,n
ts78291,Dogs of Berlin,SHOW,A politically sensitive murder forces two disparate detectives into a battle with the Berlin underworld and a confrontation with their own corruption.,2018,TV-MA,60,"['crime', 'drama', 'action', 'thriller']",['DE'],1.0,tt6839788,7.5,12617,10.83,7.4,n
tm1883,Animal Crackers,MOVIE,A family must use a magical box of Animal Crackers to save a rundown circus from being taken over by their evil uncle Horatio P. Huntington.,2017,PG,105,"['animation', 'action', 'comedy', 'family', 'fantasy']","['CN', 'US', 'ES']",,tt4155534,5.8,3422,32.235,6.3,n
ts81414,Meteor Garden,SHOW,"An ordinary girl is admitted to the most prestigious school in the country where she encounters F4, an exclusive group comprised of the four wealthiest and handsomest boys in the school - Dao Ming Si, Hua Ze Lei, Xi Men and Mei Zuo.",2018,TV-14,45,"['drama', 'romance']",['CN'],1.0,tt8690890,7.9,4033,52.891,8.5,n
ts76793,Shot in the Dark,SHOW,"Three rival freelance stringers scour the streets at night to film crime scenes, fires, accidents -- and anything else they can sell to news outlets.",2017,TV-MA,37,"['reality', 'documentation', 'thriller']",['US'],1.0,tt7644680,8.0,1795,1.638,7.9,n
ts95569,Rainbow Rangers,SHOW,"Inspired by the colors of the rainbow, seven magical girls from Kaleidoscopia are guardians of both nature and the Earth.",2018,TV-Y,22,"['animation', 'family', 'fantasy']",['US'],2.0,tt7967882,4.4,195,1.499,10.0,n
ts78231,Unsolved: The Murders of Tupac and The Notorious B.I.G.,SHOW,A chronicle of the two major police investigations by LAPD Detective Greg Kading into the deaths of Tupac and The Notorious B.I.G.,2018,TV-MA,45,['crime'],['US'],1.0,tt6233618,7.8,7872,13.329,7.0,n
ts321277,Daniel Sloss: Live Shows,SHOW,"Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent.",2018,TV-MA,60,['comedy'],['US'],1.0,tt8858472,8.5,3443,1.694,8.2,n
ts83790,The Beauty Inside,SHOW,"It is a love story of Han Se-gye who is an A-list actress. She is known as a troublemaker and the object of many rumors. Her life is a mystery, but, in reality, she suffers from an unusual phenomenon. At a certain point every month, her appearance changes to a different person. She lives one week out of every month with a different appearance, and Seo Do-jae who is an executive director of an airline company. He seems perfect with an attractive appearance and intelligence but, he suffers from prosopagnosia. He hides this disability and tries hard to memorize people by their habits and mannerisms. The only face that he is able to recognize is Han Se-gye?�s.",2018,TV-14,59,"['comedy', 'drama', 'fantasy', 'romance']",['KR'],1.0,tt8801708,7.6,2019,26.875,8.2,n
ts228255,Cry Babies Magic Tears,SHOW,Cute little babies with big personalities explore this imaginative world where tears are magical and carry special powers. The tears are triggered by emotions of love or happiness as the babies overcome challenging situations together.,2018,TV-Y,4,"['family', 'animation']",['FR'],2.0,tt11067738,5.2,43,3.304,7.2,n
ts90869,Love Daily,SHOW,Romantic anthology web series revolving around 12 stories of 12 months of young people on their paths to love.,2018,,18,"['drama', 'romance']",['US'],1.0,tt7975182,6.1,157,4.281,7.9,n
tm271959,Mr. Roosevelt,MOVIE,A young woman returns home and must confront her ex-boyfriend when an unexpected tragedy occurs.,2017,,90,['comedy'],['US'],,tt6212496,6.2,3391,4.342,6.1,n
